sentence	lexical verb	trans	gloss	form	comment	p	text	part	theme	perspective	speaker	language	dialect	affiliation	source	page	note
5	входить		1.V-PF	aorist		not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
6	быть + выпускать		V=4=A + 4.V-IPF	durative	atr / epistemic marker on complement	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
7	брать		4.V-PF	aorist		not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
8	звать		1.V.IPF	present	past / epistemic marker on complement	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
9	уезжать		1=V.PF-AA	aorist	atr	not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
10	возвращаться + не.быть		1.V-PF + V	aorist		not P	Текст Г		personal story	direct	Тагир Айвазов, Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	769	
1	делать		3-V-POT	future	intro	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
2	быть		V=3=AA	present	intro	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
2	знать + не.быть		HPL=V.IPF-A-PL + V	present	intro	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
3	слышать		4.V.PF-A	aorist	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
3	учиться + не.быть		4=V-PF + V-WY	aorist	subordinating particle	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
4	кончать-делать		V-4.V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
4	говорить		V.PF-A	aorist	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
5	увозить		1.V-IMP	imperative	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
5	учиться		4=V-POT	infinitive	quote	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
6	мочь		4.V-POT	future	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
6	учить		NEG=4=V.PF-TEMP1	converb	quote	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
7	учить		4=V-POT	infinitive		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
7	увозить + не.быть		1.V-PF + V	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
8	быть		V=2=AA	?	atr	NA	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
9	быть		V=2=EM1	present	past / epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	778	
9	брать		4.V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
9	учить-стать		V-4.V-IPF-EM1	present	past / epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
10	быть		V=1=AA	present	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
10	приходить		NEG-V-IPF-AA	present	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
11	говорить		V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
11	делать		PROH-4.V-IPF	prohibitive	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
11	делать		4.V-IPF-A	present	atr / past / quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
12	идти		V.IPF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
12	опаздывать-стать		V-1.V-IPF-AA-EM2-HAB	habitual	atr / past / epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
13	приходить		1=V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
13	делать		NPL.V-IPF(-A-PL-HAB)	present	past	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	держать.при.себе		4.V.IPF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	мешать		V	infinitive	loan from Russian	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	делать + стать		4.V-IPF + 4.V.PF	imperfect?	become	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	давать		4.V-POT	infinitive		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	разговаривать-стать		V-1.V-IPF-AA	present	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	стать		1.V.PF	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	ругаться		1.V-IPF-LIM=COH.1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	не.быть		V-AA	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
14	садиться		1.V.IPF-AA	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
15	давать		4.V-IPF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
15	делать		4.V-IPF	present		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
15	стать		1.V-IPF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
15	стать		4.V-IPF	present	become	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	779	
16	вставать-делать		V-1.V-PF-AA	aorist	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
16	делать		4.V-IPF-AOBL	participle	atr	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
16	говорить		V.PF-A	aorist	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
17	говорить		V-IMP	imperative	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
17	говорить		V.PF	aorist	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
18	говорить		V-IPF-EM1	present	epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
18	говорить		V.PF	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
19	удивляться-стать		V-1.V.PF-EM1	aorist	epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
19	говорить		V-POT	infinitive		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
19	мочь		4.V-IPF-WY	present		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
20	быть		V=4=A	present	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
20	снимать		NEG-4.V-IPF-A	present	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
21	вставать		2.V-PF-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
21	мыть		NEG=4=V.PF	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
21	садиться		2.V.IPF-AA-HAB	habitual		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
22	быть		V=3=EM1	present	past / epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
23	стать		NEG=3=V.PF-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
23	делать		3.V-IPF-AA	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
24	менять-делать		V-NPL.V-POT-WY	infinitive		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
24	говорить		V.PF-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
24	убегать		2.V-IPF-AA-EM2-HAB	habitual		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	780	
24	менять-делать		V-NEG-NPL.V.PF-AOBL-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
25	стать		NPL.V-COND1-EM2	conditional	epistemic marker on verb	nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
25	делать		NPL.V-IPF-A-PL	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
25	не.быть		V-EM2-HAB	habitual	epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
26	держать		2.V-IPF	present	past	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
26	снимать		NPL.V-IPF	present	past	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
26	надевать		V-IPF-A-PL	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
27	стать		3=V.PF-AOBL-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
27	садиться		2.V.IPF-AA	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
27	грязный-делать		ADJ-NPL.V-IPF-A-PL	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
28	грязный-стать		ADJ-2.V.PF	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
28	приходить		2=V.PF	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
28	показывать		2=V-PF	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
29	грязный-делать		ADJ-NPL.V.PF-A-PL	aorist	atr / quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
30	делать		4.V-PF	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
30	убегать		2.V-IPF-AA-EM2-HAB	habitual	past	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
31	остаться		HPL=V.PF-AOBL	participle		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
31	брать		NEG=3=V-AOBL-LIM	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
31	ходить-делать		2.V-2.V-IPF-AA	present	past / atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
31	стать		2=V.PF-MSD-CONT-EL	masdar		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	781	
32	говорить		V-POT-A	future	atr / intro	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
33	быть		V=1=AA	?		NA	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
33	издеваться + делать		V-EM2 + 1.V-IPF-AA	present	past / atr / epistemic marker on verb	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	говорить		V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	делать		PROH-4.V-IPF	prohibitive	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	делать		PROH-4.V-IPF	prohibitive	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	сидеть		HPL=V-IMP	imperative	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	оборачиваться		HPL=V.PF	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
34	говорить		V-IPF-EM2-HAB	habitual	past	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
35	давать		3=V-IMP	imperative	quote	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
36	говорить		V.PF-TEMP1	converb		nonfinite	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
36	остаться		1.V-PF-AA	aorist	atr	not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
36	брать		3=V-PF	aorist		not P	2. Рассказ про семью		personal experience, part current events	direct	Солмаз Мамедова	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
1	делать		3.V-POT	future	intro	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	782	no reference is made to the source of the stories, though they do not seem to be eyewitness testimonies; perhaps better categorized as neutral
2	стать		1.V.PF-TEMP1	converb		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
2	видеть		1.V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	782	
3	человек-быть + стать		NOUN-V=1 + 1.V.PF	aorist	become	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
4	прийти		NPL=V.PF-A	participle	atr	nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
4	быть + стать		V=NPL + NPL.V.PF	aorist	become	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
5	делать		3.V-POT	future		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
7	идти + стать		1.V.IPF + 1.V.PF	aorist	become	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	no sentence 6
8	приходить		1=V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
8	стать + стать		1.V-IPF + 1.V.PF	aorist	become	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
9	товарищ-быть + стать		NOUN-PL-NOMPL-V=HPL + HPL=V.PF	aorist	become	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
10	no verb					NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
11	говорить		V-POT	infinitive		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
12	быть		V=1	present		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
12	говорить + стать + не.быть		V-POT + 1.V-POT + V	future		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
12	говорить		V-POT	infinitive		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
13	стать		1.V.PF-AA	aorist	atr	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
13	делать		NPL.V-IPF-AOBL	participle	atr	nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
13	стать		1.V.PF-AA	aorist	atr	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	783	
14	делать + рассказ + быть		3.V-IPF-AA + NOUN + V=3=AA	present	intro	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
15	делать		NPL.V-PF-AA	aorist	atr	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
15	освобождать-делать		1.V-1.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
16	стать + стать		1.V-IPF 1.V.IPF	?		NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
17	входить		1.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
17	быть + стать		V=2 + 2=V.PF	perfect auxiliary		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
18	входить		1.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
18	выходить		2.V.IPF-AA	participle	atr	nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
18	время-быть + стать		NOUN.3-V=3 + 3=V.PF	perfect auxiliary		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
18	стать + не.быть-быть		1.V.PF + V-V=1	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
19	входить + быть		1.V-PF + V=1	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
19	закрываться-делать		V-3.V-POT	infinitive		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
19	готовый-стать		ADJ-2=V-IPF	present	past	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
20	так-быть + стать		ADV=1-V=1 + 1.V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
20	входить		1.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
20	говорить + быть		V.PF + V=4	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
20	быть		V=NPL=A-PL	?	quote	NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
20	быть + хотеть		V=NPL=A-PL + NPL.V.IPF	imperfect	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
21	говорить		V.PF	aorist	present	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
21	давать		NPL.V-IMP	imperative	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	784	
22	говорить + быть		V.PF + V=4	perfect	present	P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
22	закрываться-делать		V-4.V-IPF	present	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
22	уходить		3=V.PF-AA	aorist	atr / quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
23	держать		2=V-PF	aorist	present	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
23	делать		NPL.V-PF	aorist	present	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
23	говорить + быть		V.PF + V=4	perfect	present	P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
23	давать		NPL.V-IMP	imperative	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
24	говорить + быть		V.PF + V=4	perfect	present	P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
25	показывать + быть		NPL.V-PF + V=NPL	?	present	NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
26	раскладывать + быть + стать		NPL=V.PF + V=NPL + NPL.V.PF	?	become	NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
27	говорить + быть		V.PF + V=4	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
